traj_idx,frame,x,y,alpha,D,state
3.0,0.0,98.27323699282223,149.18920608174412,0.5476026638508442,0.9932343351821061,2.0
3.0,1.0,96.17728302882902,150.1118691279205,0.5476026638508442,0.9932343351821061,2.0
3.0,2.0,97.99303258178297,150.86525028730702,0.5476026638508442,0.9932343351821061,2.0
3.0,3.0,98.94629054243644,150.53758601469158,0.5476026638508442,0.9932343351821061,2.0
3.0,4.0,95.15914479730714,150.64148842973455,0.5476026638508442,0.9932343351821061,2.0
3.0,5.0,94.67612496097452,150.8763882120928,0.5476026638508442,0.9932343351821061,2.0
3.0,6.0,95.08350332113291,151.85206753235838,0.5476026638508442,0.9932343351821061,2.0
3.0,7.0,94.46589823595836,151.34540107582882,0.5476026638508442,0.9932343351821061,2.0
3.0,8.0,92.43958123886475,150.1729632048608,0.5476026638508442,0.9932343351821061,2.0
3.0,9.0,92.68507493746144,148.6824525476307,0.5476026638508442,0.9932343351821061,2.0
3.0,10.0,93.00195081387852,146.91592839814004,0.5476026638508442,0.9932343351821061,2.0
3.0,11.0,92.35475259137465,149.95790038258136,0.5476026638508442,0.9932343351821061,2.0
3.0,12.0,94.31624402956237,150.127738028631,0.5476026638508442,0.9932343351821061,2.0
3.0,13.0,94.17909649031567,151.54513585114867,0.5476026638508442,0.9932343351821061,2.0
3.0,14.0,95.57512585795182,152.48908300837405,0.5476026638508442,0.9932343351821061,2.0
3.0,15.0,96.8379816833794,153.0383191671369,0.5476026638508442,0.9932343351821061,2.0
3.0,16.0,96.23845096642818,150.71292101328623,0.5476026638508442,0.9932343351821061,2.0
3.0,17.0,95.31595516399031,149.63093445859414,0.5476026638508442,0.9932343351821061,2.0
3.0,18.0,96.14161766321948,148.57157920699143,0.5476026638508442,0.9932343351821061,2.0
3.0,19.0,95.11896153582857,152.05576006523515,0.5476026638508442,0.9932343351821061,2.0
3.0,20.0,95.851033418894,151.08811863003453,0.5476026638508442,0.9932343351821061,2.0
3.0,21.0,96.3851479943289,150.73591948055676,0.5476026638508442,0.9932343351821061,2.0
3.0,22.0,94.66164302142404,151.32389491329485,0.5476026638508442,0.9932343351821061,2.0
3.0,23.0,94.48809072891281,149.13950458391753,0.5476026638508442,0.9932343351821061,2.0
3.0,24.0,97.2336934041072,148.5210913795541,0.5476026638508442,0.9932343351821061,2.0
3.0,25.0,98.43570869091813,147.4518781071317,0.5476026638508442,0.9932343351821061,2.0
3.0,26.0,100.32058766437292,146.12780694942512,0.5476026638508442,0.9932343351821061,2.0
3.0,27.0,97.41071684274621,147.22064509212584,0.5476026638508442,0.9932343351821061,2.0
3.0,28.0,98.28741119804175,147.17669634269222,0.5476026638508442,0.9932343351821061,2.0
3.0,29.0,100.42990680011742,147.80325562317717,0.5476026638508442,0.9932343351821061,2.0
3.0,30.0,102.9116697207997,146.22251974887962,0.5476026638508442,0.9932343351821061,2.0
3.0,31.0,100.49534120606033,146.80841412514576,0.5476026638508442,0.9932343351821061,2.0
3.0,32.0,100.49134425321209,148.41992312392105,0.5476026638508442,0.9932343351821061,2.0
3.0,33.0,101.16125657399103,147.01192247851827,0.5476026638508442,0.9932343351821061,2.0
3.0,34.0,100.44769103834028,148.62503982437465,0.5476026638508442,0.9932343351821061,2.0
3.0,35.0,102.05259493911164,148.4377619913217,0.5476026638508442,0.9932343351821061,2.0
3.0,36.0,101.66842101142832,147.0105351321933,0.5476026638508442,0.9932343351821061,2.0
3.0,37.0,102.61674953221107,147.67920028420517,0.5476026638508442,0.9932343351821061,2.0
