traj_idx,frame,x,y,alpha,D,state
3.0,0.0,39.07210726888936,130.44001392286725,0.9,1.5,2.0
3.0,1.0,42.046754304237425,128.60435126485368,0.9,1.5,2.0
3.0,2.0,44.59631914428439,126.09924055409638,0.9,1.5,2.0
3.0,3.0,43.62734319723758,124.15910724977363,0.9,1.5,2.0
3.0,4.0,45.6934262522756,124.49484782239116,0.9,1.5,2.0
3.0,5.0,44.95975930087523,128.2689194441678,0.9,1.5,2.0
3.0,6.0,45.54948873212813,126.60377332015322,0.9,1.5,2.0
3.0,7.0,45.99851941949284,126.35900978850773,0.9,1.5,2.0
3.0,8.0,43.25408676575787,125.3168702608266,0.9,1.5,2.0
3.0,9.0,44.524598956627706,125.45180742396032,0.9,1.5,2.0
3.0,10.0,45.7899043870461,123.00864093908967,0.9,1.5,2.0
3.0,11.0,42.556430546658866,122.43471798002456,0.9,1.5,2.0
3.0,12.0,43.117800474748094,118.13740072378361,0.9,1.5,2.0
3.0,13.0,43.062118061319204,117.71847740614363,0.9,1.5,2.0
3.0,14.0,43.322430347775274,119.61718241445666,0.9,1.5,2.0
3.0,15.0,42.25995230570962,118.94065097595612,0.9,1.5,2.0
3.0,16.0,41.82798399554509,116.85182125619033,0.9,1.5,2.0
3.0,17.0,37.976598083578786,117.35150438014077,0.9,1.5,2.0
3.0,18.0,35.6291515208165,120.92663430427237,0.9,1.5,2.0
3.0,19.0,35.48865120210163,120.28665326964736,0.9,1.5,2.0
3.0,20.0,37.811519822174304,120.44427261115649,0.9,1.5,2.0
3.0,21.0,38.52090483271399,121.435431292417,0.9,1.5,2.0
3.0,22.0,38.97668093573571,123.32859290347525,0.9,1.5,2.0
3.0,23.0,39.34357720002963,120.59007050598882,0.9,1.5,2.0
3.0,24.0,38.92452184538828,123.30987480851067,0.9,1.5,2.0
3.0,25.0,38.62236675030629,124.54550982454836,0.9,1.5,2.0
3.0,26.0,39.29448585747798,125.59169084338123,0.9,1.5,2.0
3.0,27.0,40.572992030995074,122.87871741472792,0.9,1.5,2.0
3.0,28.0,41.20154885850673,124.6951900914654,0.9,1.5,2.0
